C,Mn,Si,Cr,Ni,Mo,Log_Tau_Ferrite,Log_Tau_Pearlite,Log_Tau_Bainite
0.276,0.568,1.262,2.834,1.984,3.368,0.552,1.136,5.668
1.457,0.563,1.155,3.795,2.388,0.413,2.914,1.126,7.59
0.221,1.166,1.447,2.405,1.369,3.966,0.442,2.332,4.81
0.792,0.813,1.058,3.381,4.994,3.556,1.584,1.626,6.762
0.998,1.038,0.103,0.467,2.71,2.017,1.996,2.076,0.934
0.26,0.83,0.968,3.763,1.053,1.386,0.52,1.66,7.526
1.309,0.656,0.878,4.116,4.046,2.83,2.618,1.312,8.232
1.383,0.799,0.822,4.327,1.188,4.221,2.766,1.598,8.654
0.133,0.293,0.555,1.346,1.707,1.207,0.266,0.586,2.692
0.969,0.37,1.468,3.448,2.275,1.244,1.938,0.74,6.896
0.708,1.081,1.051,0.467,0.521,4.373,1.416,2.162,0.934
1.027,0.136,0.129,1.189,4.216,0.006,2.054,0.272,2.378
0.581,0.484,1.176,2.303,0.612,2.537,1.162,0.968,4.606
0.433,0.314,0.544,0.422,1.38,4.04,0.866,0.628,0.844
0.21,1.431,0.402,1.973,2.96,3.3,0.42,2.862,3.946
1.296,0.255,0.654,0.765,4.24,0.888,2.592,0.51,1.53
0.21,0.14,0.288,1.567,3.464,2.978,0.42,0.28,3.134
0.837,1.251,0.18,0.904,2.142,0.839,1.674,2.502,1.808
0.551,0.222,1.25,2.63,1.047,1.174,1.102,0.444,5.26
1.24,0.259,0.823,0.938,1.886,4.276,2.48,0.518,1.876
1.078,0.555,0.935,2.293,0.501,1.723,2.156,1.11,4.586
0.856,0.487,0.338,4.024,1.761,1.991,1.712,0.974,8.048
0.662,1.091,1.227,3.153,3.233,3.539,1.324,2.182,6.306
1.363,1.105,0.525,2.805,1.195,1.544,2.726,2.21,5.61
1.424,1.363,0.472,2.229,2.15,0.208,2.848,2.726,4.458
0.496,0.834,0.376,1.42,3.267,2.88,0.992,1.668,2.84
