C,Mn,Si,Cr,Ni,Mo,F_Ferrite,F_Pearlite,F_Bainite,F_Martensite,Yield_MPa,UTS_MPa,Hardness_HV,Elongation_Pct
0.276,0.568,1.262,2.834,1.984,3.368,0.4,0.4,0.1,0.1,444.8,533.76,134.7878787878788,25.86
1.457,0.563,1.155,3.795,2.388,0.413,0.4,0.4,0.1,0.1,1034.8,1241.76,313.57575757575756,8.145
0.221,1.166,1.447,2.405,1.369,3.966,0.4,0.4,0.1,0.1,477.1,572.52,144.5757575757576,26.685
0.792,0.813,1.058,3.381,4.994,3.556,0.4,0.4,0.1,0.1,727.3,872.7599999999999,220.3939393939394,18.119999999999997
0.998,1.038,0.103,0.467,2.71,2.017,0.4,0.4,0.1,0.1,852.8,1023.3599999999999,258.42424242424244,15.03
0.26,0.83,0.968,3.763,1.053,1.386,0.4,0.4,0.1,0.1,463.0,555.6,140.3030303030303,26.1
1.309,0.656,0.878,4.116,4.046,2.83,0.4,0.4,0.1,0.1,970.1,1164.12,293.969696969697,10.365000000000002
1.383,0.799,0.822,4.327,1.188,4.221,0.4,0.4,0.1,0.1,1021.4,1225.6799999999998,309.5151515151515,9.254999999999999
0.133,0.293,0.555,1.346,1.707,1.207,0.4,0.4,0.1,0.1,345.8,414.96,104.7878787878788,28.005
0.969,0.37,1.468,3.448,2.275,1.244,0.4,0.4,0.1,0.1,771.5,925.8,233.7878787878788,15.465
0.708,1.081,1.051,0.467,0.521,4.373,0.4,0.4,0.1,0.1,712.1,854.52,215.7878787878788,19.380000000000003
1.027,0.136,0.129,1.189,4.216,0.006,0.4,0.4,0.1,0.1,777.1,932.52,235.4848484848485,14.595
0.581,0.484,1.176,2.303,0.612,2.537,0.4,0.4,0.1,0.1,588.9,706.68,178.45454545454547,21.285
0.433,0.314,0.544,0.422,1.38,4.04,0.4,0.4,0.1,0.1,497.9,597.4799999999999,150.87878787878788,23.505
0.21,1.431,0.402,1.973,2.96,3.3,0.4,0.4,0.1,0.1,498.1,597.72,150.93939393939397,26.85
1.296,0.255,0.654,0.765,4.24,0.888,0.4,0.4,0.1,0.1,923.5,1108.2,279.8484848484849,10.559999999999999
0.21,0.14,0.288,1.567,3.464,2.978,0.4,0.4,0.1,0.1,369.0,442.8,111.81818181818183,26.85
0.837,1.251,0.18,0.904,2.142,0.839,0.4,0.4,0.1,0.1,793.6,952.3199999999999,240.4848484848485,17.445
0.551,0.222,1.25,2.63,1.047,1.174,0.4,0.4,0.1,0.1,547.7,657.24,165.969696969697,21.735
1.24,0.259,0.823,0.938,1.886,4.276,0.4,0.4,0.1,0.1,895.9,1075.08,271.4848484848485,11.399999999999999
1.078,0.555,0.935,2.293,0.501,1.723,0.4,0.4,0.1,0.1,844.5,1013.4,255.90909090909093,13.829999999999998
0.856,0.487,0.338,4.024,1.761,1.991,0.4,0.4,0.1,0.1,726.7,872.0400000000001,220.21212121212125,17.16
0.662,1.091,1.227,3.153,3.233,3.539,0.4,0.4,0.1,0.1,690.1,828.12,209.12121212121215,20.07
1.363,1.105,0.525,2.805,1.195,1.544,0.4,0.4,0.1,0.1,1042.0,1250.3999999999999,315.75757575757575,9.555
1.424,1.363,0.472,2.229,2.15,0.208,0.4,0.4,0.1,0.1,1098.3,1317.9599999999998,332.8181818181818,8.64
0.496,0.834,0.376,1.42,3.267,2.88,0.4,0.4,0.1,0.1,581.4,697.68,176.1818181818182,22.560000000000002
0.456,1.197,1.059,3.191,3.751,0.142,0.4,0.4,0.1,0.1,597.7,717.24,181.12121212121215,23.16
0.401,0.735,0.59,1.24,2.078,4.054,0.4,0.4,0.1,0.1,524.0,628.8,158.7878787878788,23.985
0.139,1.333,0.752,4.649,1.57,0.998,0.4,0.4,0.1,0.1,452.79999999999995,543.3599999999999,137.21212121212122,27.915
1.465,0.991,0.819,0.019,4.87,4.386,0.4,0.4,0.1,0.1,1081.6,1297.9199999999998,327.75757575757575,8.024999999999999
1.159,0.49,1.392,3.778,4.621,4.369,0.4,0.4,0.1,0.1,878.5,1054.2,266.21212121212125,12.614999999999998
0.585,0.891,0.679,2.957,1.275,0.946,0.4,0.4,0.1,0.1,631.6,757.92,191.3939393939394,21.225
0.81,1.14,1.353,3.591,1.832,0.837,0.4,0.4,0.1,0.1,769.0,922.8,233.03030303030303,17.85
1.008,1.002,1.159,1.182,4.943,3.914,0.4,0.4,0.1,0.1,854.2,1025.04,258.8484848484849,14.879999999999999
0.888,1.498,0.112,1.166,0.356,3.735,0.4,0.4,0.1,0.1,843.8,1012.56,255.6969696969697,16.68
1.116,0.512,0.644,2.585,0.041,3.035,0.4,0.4,0.1,0.1,859.2,1031.04,260.3636363636364,13.259999999999998
1.322,1.103,1.345,2.388,2.674,0.828,0.4,0.4,0.1,0.1,1021.3,1225.56,309.4848484848485,10.169999999999998
0.198,0.179,0.206,4.726,3.404,3.907,0.4,0.4,0.1,0.1,366.9,440.28,111.18181818181819,27.03
1.45,0.3,1.209,2.852,1.697,1.817,0.4,0.4,0.1,0.1,1005.0,1206.0,304.54545454545456,8.25
0.712,1.08,0.476,2.575,2.092,4.277,0.4,0.4,0.1,0.1,714.0,856.8,216.36363636363637,19.32
1.026,1.295,1.191,2.138,3.003,0.784,0.4,0.4,0.1,0.1,892.5,1071.0,270.4545454545455,14.61
1.448,1.136,1.152,4.053,1.728,0.028,0.4,0.4,0.1,0.1,1087.6,1305.12,329.57575757575756,8.280000000000001
0.642,1.257,0.152,3.364,3.732,3.486,0.4,0.4,0.1,0.1,696.7,836.0400000000001,211.12121212121215,20.369999999999997
0.154,1.484,1.224,3.934,4.43,0.913,0.4,0.4,0.1,0.1,475.4,570.4799999999999,144.06060606060606,27.69
0.994,0.721,1.092,4.524,2.514,3.897,0.4,0.4,0.1,0.1,819.1,982.92,248.21212121212125,15.09
0.601,1.076,0.52,3.259,0.613,2.093,0.4,0.4,0.1,0.1,658.1,789.72,199.42424242424244,20.985
0.484,0.128,1.16,4.194,3.555,4.819,0.4,0.4,0.1,0.1,504.8,605.76,152.96969696969697,22.740000000000002
1.092,1.335,0.546,0.062,0.272,2.804,0.4,0.4,0.1,0.1,929.5,1115.3999999999999,281.6666666666667,13.619999999999997
0.678,1.103,0.765,0.408,2.997,1.873,0.4,0.4,0.1,0.1,699.3,839.16,211.9090909090909,19.83
0.413,1.314,0.571,2.183,2.899,1.946,0.4,0.4,0.1,0.1,587.9,705.4799999999999,178.15151515151516,23.805
1.302,0.44,0.374,3.904,4.049,4.133,0.4,0.4,0.1,0.1,945.0,1134.0,286.3636363636364,10.469999999999999
0.686,0.771,0.205,2.597,4.073,2.157,0.4,0.4,0.1,0.1,670.1,804.12,203.0606060606061,19.71
1.033,0.34,1.301,3.745,0.345,3.088,0.4,0.4,0.1,0.1,800.5,960.5999999999999,242.5757575757576,14.505
0.402,0.527,0.994,4.493,1.272,1.018,0.4,0.4,0.1,0.1,503.7,604.4399999999999,152.63636363636365,23.97
1.117,0.263,0.754,1.669,4.251,3.568,0.4,0.4,0.1,0.1,834.8,1001.7599999999999,252.96969696969697,13.245000000000001
0.336,0.565,1.025,4.716,4.696,3.32,0.4,0.4,0.1,0.1,474.5,569.4,143.78787878787878,24.96
1.438,0.572,0.573,1.387,3.484,2.626,0.4,0.4,0.1,0.1,1026.2,1231.44,310.969696969697,8.43
0.528,0.487,1.0,4.168,1.876,3.47,0.4,0.4,0.1,0.1,562.7,675.24,170.51515151515153,22.08
0.469,0.266,0.429,0.597,4.978,2.442,0.4,0.4,0.1,0.1,511.1,613.32,154.8787878787879,22.965
1.167,0.642,1.009,0.997,2.017,4.529,0.4,0.4,0.1,0.1,897.7,1077.24,272.03030303030306,12.495000000000001
0.283,0.176,0.854,2.513,0.979,2.173,0.4,0.4,0.1,0.1,409.1,490.92,123.96969696969698,25.755000000000003
0.876,0.878,0.135,1.376,4.841,0.258,0.4,0.4,0.1,0.1,775.8,930.9599999999999,235.0909090909091,16.86
0.946,1.28,0.157,1.102,2.006,0.656,0.4,0.4,0.1,0.1,851.0,1021.1999999999999,257.8787878787879,15.81
0.7,0.211,0.715,2.824,4.791,1.271,0.4,0.4,0.1,0.1,621.1,745.32,188.21212121212122,19.5
1.183,0.837,0.188,2.637,2.753,0.755,0.4,0.4,0.1,0.1,925.2,1110.24,280.3636363636364,12.254999999999999
0.7,1.195,0.648,1.792,4.957,1.876,0.4,0.4,0.1,0.1,719.5,863.4,218.03030303030303,19.5
1.436,1.191,0.519,1.719,0.056,1.821,0.4,0.4,0.1,0.1,1087.1,1304.5199999999998,329.42424242424244,8.46
0.443,0.191,1.188,1.914,0.104,2.907,0.4,0.4,0.1,0.1,490.6,588.72,148.66666666666669,23.355
0.913,1.233,0.148,4.05,1.069,1.28,0.4,0.4,0.1,0.1,829.8,995.7599999999999,251.45454545454547,16.305
0.912,0.46,1.104,0.501,3.895,4.408,0.4,0.4,0.1,0.1,752.0,902.4,227.8787878787879,16.32
0.213,0.959,1.103,0.37,1.508,2.952,0.4,0.4,0.1,0.1,452.4,542.88,137.0909090909091,26.805
0.176,1.21,0.581,2.103,3.702,3.669,0.4,0.4,0.1,0.1,459.0,550.8,139.0909090909091,27.36
1.291,1.269,1.466,2.949,1.488,1.807,0.4,0.4,0.1,0.1,1022.4,1226.8799999999999,309.8181818181818,10.635000000000002
0.113,1.158,1.315,2.471,4.216,3.62,0.4,0.4,0.1,0.1,422.3,506.76,127.96969696969698,28.305
0.11,1.385,0.382,0.85,3.471,1.954,0.4,0.4,0.1,0.1,443.5,532.1999999999999,134.3939393939394,28.35
0.48,0.613,1.314,0.725,2.873,1.505,0.4,0.4,0.1,0.1,551.3,661.56,167.06060606060606,22.8
0.558,0.602,1.348,4.564,0.315,1.654,0.4,0.4,0.1,0.1,589.2,707.0400000000001,178.54545454545456,21.63
0.113,1.014,1.058,1.277,2.859,4.629,0.4,0.4,0.1,0.1,407.9,489.47999999999996,123.60606060606061,28.305
0.41,1.183,1.037,4.956,1.277,4.13,0.4,0.4,0.1,0.1,573.3,687.9599999999999,173.72727272727272,23.85
1.132,0.977,1.359,2.335,4.513,1.827,0.4,0.4,0.1,0.1,913.7,1096.44,276.87878787878793,13.020000000000003
1.228,0.471,0.786,3.827,4.545,2.507,0.4,0.4,0.1,0.1,911.1,1093.32,276.0909090909091,11.580000000000002
1.208,0.669,1.444,4.076,3.698,0.302,0.4,0.4,0.1,0.1,920.9,1105.08,279.06060606060606,11.879999999999999
0.776,0.419,0.991,1.53,1.493,2.292,0.4,0.4,0.1,0.1,679.9,815.88,206.03030303030303,18.36
1.47,0.188,0.804,2.756,3.806,1.543,0.4,0.4,0.1,0.1,1003.8,1204.56,304.1818181818182,7.949999999999999
1.205,1.39,1.1,2.208,1.851,3.517,0.4,0.4,0.1,0.1,991.5,1189.8,300.4545454545455,11.924999999999997
0.231,1.241,0.661,2.596,0.498,1.83,0.4,0.4,0.1,0.1,489.6,587.52,148.36363636363637,26.535
0.235,1.304,0.878,4.23,2.43,3.092,0.4,0.4,0.1,0.1,497.9,597.4799999999999,150.87878787878788,26.475
0.703,1.02,0.916,4.461,2.51,0.573,0.4,0.4,0.1,0.1,703.5,844.1999999999999,213.1818181818182,19.455
0.224,0.229,1.388,4.216,3.901,4.328,0.4,0.4,0.1,0.1,384.9,461.87999999999994,116.63636363636364,26.64
0.701,1.127,1.32,3.741,1.939,1.621,0.4,0.4,0.1,0.1,713.2,855.84,216.12121212121215,19.485
0.944,0.374,0.754,3.589,2.39,2.724,0.4,0.4,0.1,0.1,759.4,911.28,230.12121212121212,15.84
0.21,0.756,0.233,4.417,2.115,4.871,0.4,0.4,0.1,0.1,430.6,516.72,130.4848484848485,26.85
0.993,0.563,0.792,2.76,3.374,4.827,0.4,0.4,0.1,0.1,802.8,963.3599999999999,243.27272727272728,15.105
0.573,1.34,1.02,0.62,1.833,2.055,0.4,0.4,0.1,0.1,670.5,804.6,203.1818181818182,21.405
0.648,0.861,1.12,0.581,0.977,2.158,0.4,0.4,0.1,0.1,660.1,792.12,200.03030303030306,20.28
0.855,0.867,1.391,4.181,1.204,1.8,0.4,0.4,0.1,0.1,764.2,917.0400000000001,231.5757575757576,17.175
1.38,0.376,0.69,3.562,4.566,2.753,0.4,0.4,0.1,0.1,977.6,1173.12,296.24242424242425,9.3
0.133,0.999,1.465,1.9,3.793,2.836,0.4,0.4,0.1,0.1,416.4,499.67999999999995,126.18181818181819,28.005
0.639,1.169,1.346,3.213,4.398,1.192,0.4,0.4,0.1,0.1,686.4,823.68,208.0,20.415
0.316,0.58,0.766,1.401,2.785,0.656,0.4,0.4,0.1,0.1,466.0,559.1999999999999,141.21212121212122,25.259999999999998
1.131,0.696,0.43,3.811,2.146,4.832,0.4,0.4,0.1,0.1,885.1,1062.12,268.21212121212125,13.035
1.39,0.103,1.238,0.841,0.266,2.342,0.4,0.4,0.1,0.1,955.3,1146.36,289.4848484848485,9.150000000000002
0.427,0.651,1.432,0.359,2.498,2.953,0.4,0.4,0.1,0.1,528.6,634.32,160.1818181818182,23.595
0.259,0.625,1.275,4.8,2.912,1.355,0.4,0.4,0.1,0.1,442.0,530.4,133.93939393939394,26.115
0.416,0.99,0.736,0.32,0.284,1.187,0.4,0.4,0.1,0.1,557.0,668.4,168.7878787878788,23.76
0.789,1.2,1.367,2.336,4.16,4.878,0.4,0.4,0.1,0.1,764.5,917.4,231.66666666666669,18.165
0.449,1.257,0.589,1.337,3.73,4.684,0.4,0.4,0.1,0.1,600.2,720.24,181.8787878787879,23.265
1.184,0.724,0.387,4.951,4.576,4.538,0.4,0.4,0.1,0.1,914.4,1097.28,277.0909090909091,12.240000000000002
0.484,0.544,1.25,2.522,1.891,3.013,0.4,0.4,0.1,0.1,546.4,655.68,165.57575757575756,22.740000000000002
0.887,0.722,0.188,0.282,1.399,4.083,0.4,0.4,0.1,0.1,765.7,918.84,232.03030303030306,16.695
0.966,0.846,0.959,0.681,0.306,3.005,0.4,0.4,0.1,0.1,817.6,981.12,247.75757575757578,15.51
1.395,1.317,0.106,0.59,0.643,4.466,0.4,0.4,0.1,0.1,1079.2,1295.04,327.03030303030306,9.075
0.793,0.973,1.481,3.653,2.378,2.825,0.4,0.4,0.1,0.1,743.8,892.56,225.3939393939394,18.104999999999997
0.195,0.146,0.868,1.078,4.897,1.136,0.4,0.4,0.1,0.1,362.1,434.52000000000004,109.72727272727273,27.075
0.82,0.621,0.908,3.01,3.898,1.488,0.4,0.4,0.1,0.1,722.1,866.52,218.81818181818184,17.700000000000003
0.646,0.546,0.879,2.876,3.769,3.748,0.4,0.4,0.1,0.1,627.6,753.12,190.1818181818182,20.310000000000002
0.289,1.049,0.586,0.667,0.502,4.437,0.4,0.4,0.1,0.1,499.4,599.28,151.33333333333334,25.665
0.872,0.711,0.519,1.771,1.943,2.688,0.4,0.4,0.1,0.1,757.1,908.52,229.42424242424244,16.92
0.121,0.461,0.191,3.71,0.155,1.294,0.4,0.4,0.1,0.1,356.6,427.92,108.06060606060608,28.185
0.649,1.091,1.1,0.137,0.004,0.735,0.4,0.4,0.1,0.1,683.6,820.32,207.15151515151516,20.265
0.464,0.903,0.941,0.897,1.722,4.23,0.4,0.4,0.1,0.1,572.3,686.7599999999999,173.4242424242424,23.04
